,품목고시 명칭에 따른 보조기기 영역,,
,,,
,연번,품목고시 명칭,보조기기 영역
,1,(등-)허리-엉치-엉덩-무릎-발목-발 보조기,ADL
,2,"2인 이상용 2륜 자전거, 3륜 자전거, 4륜 자전거",L
,3,DAISY 플레이어 및 전자책 리더,S
,4,OCR 장치 및 OCR 소프트웨어 (문자판독기),S
,5,가발,ADL
,6,가스 공급용 안전밸브,EC
,7,가슴 보형물,ADL
,8,가위,ADL
,9,각도 측정용 보조기기 및 도구,ADL
,10,간이 리프트(호이스트용 신체지지 장치),ADL
,11,간이변기(변기 좌석),ADL
,12,감각 통합 훈련용 보조 기기,ADL
,13,개념 발달 훈련용 보조기기,ADL
,14,개별 가동성 훈련용 보조기기,ADL
,15,개별 체중계,ADL
,16,개인 비상 경보 시스템,ADL
,17,개인용 음성증폭기,AAC
,18,개조된 원예 화단,ADL
,19,건식 카펫 청소기,ADL
,20,건조용 보조기기,ADL
,21,걸상,SP
,22,걸음걸이 훈련용 보조기기,ADL
,23,겉옷,ADL
,24,게임,L
,25,겨울 스포츠용 보조기기,L
,26,경사대,"SP, ADL"
,27,경성 좌석 착석형 호이스트,ADL
,28,경첩식 레일 및 팔 지지대,ADL
,29,계단,EC
,30,계단 오르고 내리기를 위하여 휠체어를 고정하는 장치,"ADL, WC"
,31,계단 오르기 전동 휠체어,WC
,32,계단 오르기용 수동 휠체어,WC
,33,계란 컵,ADL
,34,계산 소프트웨어,ADL
,35,계산기,ADL
,36,계산용 수동 장치,ADL
,37,"고정 장치 또는 손잡이가 달린 목욕 수건, 스펀지, 솔",ADL
,38,고정기능이 있는 소아용  일회용 요실금 제품,ADL
,39,고정된 높이의 주추 및 버팀대,EC
,40,고정식 핸들 및 회전형 손잡이,ADL
,41,고정형 경사로,EC
,42,고정형 손잡이와 핸드그립,ADL
,43,골반 보조기,ADL
,44,골반 의지,ADL
,45,골반 훈련용 보조기기,ADL
,46,공공 정보/전자거래 단말기,ADL
,47,공기 청정기,EC
,48,공기주입식 의류 및 압박 장치,ADL
,49,공정품 및 도구의 고정 및 배치용 보조기기,EC
,50,공정품 및 도구의 운반 및 잡기용 보조기기,EC
,51,관절고정용 의자,SP
,52,광 필터(흡수 필터),S
,53,광선치료용 보호 안경,ADL
,54,구개 보형물,ADL
,55,구내 통신 및 현관 인터폰,S
,56,구둣주걱 및 장화벗기 도구,ADL
,57,구조장비,EC
,58,굳은살 제거기,ADL
,59,귀 보호 또는 청력 보호용 보조기기,ADL
,60,귀납적/추론적 원인 훈련용 보조기기,ADL
,61,그리기 및 색칠하기 소프트웨어,ADL
,62,그리기 및 쓰기용 수동 장치,ADL
,63,"금속공예용 도구, 재료, 장비",L
,64,기계 및 도구용 액세서리,ADL
,65,기관 절개창 삽입관,ADL
,66,기관절개창 관리용 액세사리,ADL
,67,기관절개창 보호기,ADL
,68,기능 교정 맞춤 신발,ADL
,69,기도 보호용 보조기기,ADL
,70,기립 의자,SP
,71,기립틀 및 기립을 위한 지지대(기립훈련기),"SP, ADL"
,72,기립형 이동식 호이스트,ADL
,73,기립형 전동 차량,AM
,74,기본 기하학 기술 훈련용 보조기기,ADL
,75,기어가기 및 이동판,WC
,76,기억 지원 보조기기,ADL
,77,기억 훈련 보조기기,ADL
,78,"기중기, 도르래 장치, 하역 장비",EC
,79,기초연산 훈련용 및 지원용 보조기기,ADL
,80,기타 스포츠용 보조기기,L
,81,기타 인지기능 강화를 위한 보조기기,ADL
,82,"기타 재료로 만든 수공예품용 도구, 재료, 장비",L
,83,기후 상태 측정용 보조기기 및 도구,EC
,84,길이 측정용 보조기기 및 도구,ADL
,85,나침반,S
,86,낚시용 보조기기,L
,87,남성용 신체착용형 소변기,ADL
,88,남성용 일회용 소변 주머니,ADL
,89,내부 인공항문 배액 또는 물세척용 보조기기,ADL
,90,내화성 바닥 덮개,EC
,91,냉장고 및 냉동고,ADL
,92,넓적다리 보조기,ADL
,93,넓적다리 의지,ADL
,94,넥타이 및 나비 넥타이,ADL
,95,녹음 및 재생 장치,S
,96,놀이터 장비,L
,97,높이 조절식 주추 및 버팀대,EC
,98,높이 조절형 버스,AM
,99,"높이 조절형 자동차, 승합차 및 트럭",AM
,100,높이가 높은 독립형 변기 좌석,ADL
,101,높이가 높은 탈부착형 변기좌석,ADL
,102,누름버튼,ADL
,103,눈 또는 얼굴 보호용 보조기기,ADL
,104,다기능 의사소통 시스템,S
,105,다리 및 발 지지대,SP
,106,다리 보조기 구조 부분품,ADL
,107,다리 보조기 마감(성형외관) 부분품,ADL
,108,다리 보조기 장착부 부분품,ADL
,109,다리 연장기,EC
,110,다리 의지 구조 부분품,ADL
,111,다리 의지 라이너,ADL
,112,다리 의지 마감(성형외관) 부분품,ADL
,113,다리 의지 소켓,ADL
,114,다리 의지 외측 관절 장치,ADL
,115,다리 의지 정렬 부분품,ADL
,116,다리 의지 현가 부분품,ADL
,117,다리 절단인용 임시 의지,ADL
,118,다림질 기계 및 다리미,ADL
,119,다림질 판 및 탁자,ADL
,120,다양한 4륜 전동 차량,AM
,121,다중 끝부분이 있는 지팡이,WC
,122,단서 언어 훈련용 보조기기,S
,123,단위 계산용 보조기기 및 도구,ADL
,124,단추 끼우개,ADL
,125,단추장치 및 조임장치,ADL
,126,달력 및 시간표,ADL
,127,담요 지지대,ADL
,128,대면 의사소통 소프트웨어,AAC
,129,대변 수집 주머니,ADL
,130,대소변 수집용 자동 변기 시스템,ADL
,131,대화용 장치,AAC
,132,"도예용 도구, 재료, 장비",L
,133,독립 기립형 리프트 플랫폼,EC
,134,독립형 변기 팔 지지대 및 등 지지대,ADL
,135,독서용 및 작업용 조명,ADL
,136,"독서용 탁자, 책상 및 기립형 책상",ADL
,137,독화 훈련용 보조기기,S
,138,돈의 이해 훈련용 보조기기,ADL
,139,동력보조형 미는 휠체어,WC
,140,동력형 보행차,WC
,141,들어올리기용 좌석 및 매트리스,ADL
,142,등 보조기,ADL
,143,등 지지대,SP
,144,등 충전물,ADL
,145,등-허리 보조기,ADL
,146,등-허리-엉치 보조기,ADL
,147,"뜨개질, 크로셰 뜨개질, 재봉 및 감침용 바늘",ADL
,148,라디오 수신기,S
,149,라운지 의자 및 안락 의자,"SP, ADL"
,150,라켓 스포츠용 보조기기,L
,151,로봇 조종기,ADL
,152,롤레이터(보행차),WC
,153,리프트용 벨트 및 조끼식 벨트,ADL
,154,마개 및 깔때기,ADL
,155,마이크,S
,156,말단 개방형 소변 주머니,ADL
,157,말단 폐쇄형 소변 주머니,ADL
,158,말하기 의사소통용 기기,AAC
,159,망원경,S
,160,매트리스 및 매트리스 커버,ADL
,161,머리 및 목 지지대,SP
,162,머리 보조기,ADL
,163,머리 보호용 보조기기,ADL
,164,머리감기용 보조기기,ADL
,165,머리카락 건조기,ADL
,166,"면도용 솔, 면도기, 전기면도기",ADL
,167,모스 통신 훈련용 보조기기,AAC
,168,모자류,ADL
,169,목 보조기,ADL
,170,"목공용 도구, 재료, 장비",L
,171,목-등 보조기,ADL
,172,목-등-허리-엉치 보조기,ADL
