,,,,,,,,,,,          ,,,
구분,과목,영역,품목코드,품목 및 제품명,센터입고일,가격,재원정보,구입처,사용위치,폐기일자,고장/수리 폐기 여부,구성물품,비고,이미지
1,보조기기,감각,GWAT-19-S-01,올인원FM시스템,2019. 12. 11,"3,300,000",구입,㈜터치스톤,2층 전시실 - S,폐기대상아님,정상,"1. 충전 어댑터 
 2. T-MIC 
  3. T-AMP 
 4. 가방",,
2,보조기기,감각,GWAT-19-S-02,메세지 스톤,2019년 12월 11일,"1,650,000",구입,㈜터치스톤,2층 전시실 - AAC,폐기대상아님,정상,"1. 테블릿
 2. USB 케이블(C타입)
 3. deep voice",,
3,보조기기,감각,GWAT-19-S-03,사운드 스톤,2019년 12월 11일,"200,000",구입,㈜터치스톤,상담실 ,폐기대상아님,정상,"1. 본체
 2. 이어폰
 3. 케이스",이어캡 x,
4,보조기기,감각,GWAT-19-S-04,노바캠리더(하드웨어),2019년 12월 18일,"2,800,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"노바캠리더 필수 옵션
1. 노트북
2. 캠리더
3.usb 케이블 
4. 마우스",,
5,보조기기,자세유지,GWAT-19-SP-01,토마토 피더시트-소,2019년 12월 18일,"1,305,000",구입,㈜에이블라이프,"어린이병동 
전시실
",폐기대상아님,정상,1. 토마토시트 본체,,
6,보조기기,자세유지,GWAT-19-SP-02,토마토 피더시트-중,2019년 12월 18일,"1,395,000",구입,㈜에이블라이프,2층 전시실 - sp,폐기대상아님,정상,"
1.토마토시트 본체",,
7,보조기기,자세유지,GWAT-19-SP-03,코지프론스스탠더(전동),2019년 12월 18일,"1,539,000",구입,㈜에이블라이프,2층 전시실 밖- sp,폐기대상아님,정상,코지프론스탠더 본체 ,,
8,보조기기,이동,GWAT-19-WC-01,보행보조기(청소년용),2019년 12월 18일,"350,000",구입,㈜에이블라이프,2층 전시실- WC,폐기대상아님,정상,"1.등받이 가드
2. 보조시트
3.수납가방",,
9,보조기기,의사소통,GWAT-19-AAC-01,"스마트나브
 4AT&마이토키윈도우 패키지",2019년 12월 18일,"1,733,000",구입,㈜에이블라이프,,폐기대상아님,정상,,,
10,보조기기,일상생활, GWAT-19-ADL-01,전동흡입칫솔 G100,2019년 12월 18일,"253,000",구입,㈜에이블라이프,2층 전시실 - ADL(수납장),폐기대상아님,정상,"1. 충전 어댑터  
2. 전동칫솔 본체",,
11,보조기기,일상생활, GWAT-19-ADL-02,휴대용진동알람시계(SBP100),2019년 12월 18일,"60,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,휴대용진동알람시계 본체,,
12,보조기기,일상생활, GWAT-19-ADL-03,오터-소,2019년 12월 23일,"750,000",구입,㈜에이블라이프,지하,폐기대상아님,정상,오터(소) 본체,,
13,보조기기,일상생활, GWAT-19-ADL-04,오터-중,2019년 12월 23일,"760,000",구입,㈜에이블라이프,지하,폐기대상아님,정상,오터(중) 본체,,
14,보조기기,일상생활, GWAT-19-ADL-05,오터-대,2019년 12월 23일,"810,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,오터(대) 본체,,
15,보조기기,일상생활, GWAT-19-ADL-06,MTCA,2019년 12월 23일,"600,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,MTCA 본체,,
16,보조기기,일상생활, GWAT-19-ADL-07,라온아띠 KCS-801,2019년 12월 23일,"120,000",구입,㈜에이블라이프,2층 전시실 - ADL,폐기대상아님,정상,라온아띠 본체,,
17,보조기기,일상생활, GWAT-19-ADL-08,보필7,2019년 12월 23일,"140,000",구입,㈜에이블라이프,2층 전시실 - ADL,폐기대상아님,정상,보필7 본체,,
18,보조기기,일상생활, GWAT-19-ADL-09,"브레스트 독립형 
 변기 팔지지대",2019년 12월 23일,"180,000",구입,㈜에이블라이프,1층 전시실,폐기대상아님,정상,"브레스트 독립형 
 변기 팔지지대 본체",,
19,보조기기,일상생활, GWAT-19-ADL-10,케어핸들-1,2019년 12월 23일,"120,000",구입,㈜에이블라이프,2층 전시실 - ADL,폐기대상아님,정상,케어핸들-1 본체,,
20,보조기기,일상생활, GWAT-19-ADL-11,담요(자루형) 대,2019년 12월 23일,"120,000",구입,㈜에이블라이프,1층 전시실,폐기대상아님,정상,담요(자루형) 대 본품,,
21,보조기기,일상생활, GWAT-19-ADL-12,풋워머,2019년 12월 23일,"30,000",구입,㈜에이블라이프,2층 전시실 - ADL(수납장),폐기대상아님,정상,"1. 커버
2. 본품",,
22,보조기기,일상생활, GWAT-19-ADL-13,회전좌석 슬라이딩 보드,2019년 12월 23일,"160,000",구입,㈜에이블라이프,2층 전시실 - ADL ,폐기대상아님,정상,회전좌석 슬라이딩 보드 본품,,
23,보조기기,일상생활, GWAT-19-ADL-14,슬라이딩보드 MTB62,2019년 12월 23일,"100,000",구입,㈜에이블라이프,2층 전시실 - ADL ,폐기대상아님,정상,"1. 슬라이딩보드 커버
2. 슬라이딩보드 본품",,
24,보조기기,환경개조, GWAT-19-EC-01,슈트케이스 02,2019년 12월 23일,"200,000",구입,㈜에이블라이프,2층 전시실 - 레저,폐기대상아님,정상,슈트케이스 본품,,
25,보조기기,환경개조, GWAT-19-EC-02,"던슬로프/탄소섬유
 R-125 SL",2019년 12월 23일,"610,000",구입,㈜에이블라이프,2층 전시실 - EC,폐기대상아님,정상,"1. 사용설명서
2. 던슬로프 본품",,
26,보조기기,이동,GWAT-19-WC-02,코지워커 - P01A,2019년 12월 23일,"200,000",구입,㈜에이블라이프,1층 전시실,폐기대상아님,정상, 코지워커 본체,,
27,보조기기,이동,GWAT-19-WC-03,보행차 KCS-501,2019년 12월 23일,"130,000",구입,㈜에이블라이프,2층 전시실 밖 - WC,폐기대상아님,정상,"1. 사용설명서
2. KCS-501 본품",,
28,보조기기,자세유지,GWAT-19-SP-04,"휠체어탑승자
 바디서포트 (중형)",2019년 12월 23일,"130,000",구입,㈜에이블라이프,2층 전시실 - WC,폐기대상아님,정상,바디서포트 본품,대여 상태,
29,보조기기,일상생활, GWAT-19-ADL-15,로호 욕창 방석,2019년 12월 23일,"310,000",구입,㈜에이블라이프,2층 전시실 - ADL,폐기대상아님,정상,"1. 욕창예방방석
2. 욕창예방방석 커버",대여 상태,
30,보조기기,일상생활, GWAT-19-ADL-16,실리콘 에어쿠션 4040,2019년 12월 23일,"210,000",구입,㈜에이블라이프,1층 전시실,폐기대상아님,정상,실리콘 에어쿠션 본품,,
31,보조기기,일상생활, GWAT-19-ADL-17,"욕창예방매트리스
 YH-0302",2019년 12월 23일,"220,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 매트리스
2. 연결호스
3. 컨트롤박스",,
32,보조기기,감각,GWAT-19-S-05,"음성유도장치
 시각장애인용 공용리모콘",2019년 12월 23일,"30,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,리모콘 본체,,
33,보조기기,환경개조,GWAT-19-EC-07,"시각신호표시기
 휴대용 무선신호기 케어데프 
 플러스",2019년 12월 23일,"240,000",구입,㈜에이블라이프,2층 전시실 - EC,폐기대상아님,정상,무선신호기 6개,,
34,보조기기,감각,GWAT-19-S-07,"청취증폭기
 이어짱",2019년 12월 23일,"140,000",구입,㈜에이블라이프,상담실,폐기대상아님,정상,"1. 사용 설명서
2. 이어폰
3.이어캡
4. 충전기 (수량:5개)",,
35,보조기기,의사소통,GWAT-19-AAC-02,"대화용장치
 한뼘",2019년 12월 23일,"540,000",구입,㈜에이블라이프,2층 전시실 - AAC,폐기대상아님,정상,"1. 사용설명서
2. C타입 충전기",,
36,보조기기,감각,GWAT-19-S-08,"클로버10 HD
(독서확대기)",2019년 12월 23일,"1,780,000",구입,㈜에이블라이프,2층 전시실 - S,폐기대상아님,정상,"1. 본체
2. 가방
3. 사용설명서
4. 충전 어댑터
5. 거치대 및 케이스 
6. HDMI케이블 ","가방, HDMI케이블 ",
