순번,기관명,소재지역(시도),소재지역(시군구),전화번호,팩스번호,이메일,서비스기관주소,홈페이지
1,중앙보조기기센터,서울특별시,강북구,1670-5529(내선1),02-6944-8212,koreanationalatc@gmail.com,(01022) 서울특별시 강북구 삼각산로 58 국립재활원 교육행정동 1층,www.knat.go.kr
2,부산광역시보조기기센터,부산광역시,연제구,1670-5529(내선4),051-868-3518,bratc@naver.com,(47519) 부산광역시 연제구 중앙대로 1150번길 15 부산광역시장애인종합복지관,www.bratc.or.kr
3,대구광역시보조기기센터,대구광역시,남구,1670-5529(내선5),053-650-8344,xess-jinhyun@hanmail.net,(42400) 대구광역시 남구 성당로50길 33 대구대학교 대명동캠퍼스 평생교육원 1호관1201호,datc.daegu.ac.kr
4,인천광역시보조기기센터,인천광역시,계양구,1670-5529(내선3),032-540-8998,icatc@naver.com,(21042) 인천광역시 계양구 계양산로 35번길 12-37 인천광역시보조기기센터,www.icatc.or.kr
5,광주광역시보조기기센터,광주광역시,북구,1670-5529(내선8),062-233-3004,gjat9365@naver.com,(61027) 광주광역시 북구 하서로 590 호남권역재활병원 1층,www.gjat.or.kr
6,대전광역시보조기기센터,대전광역시,중구,1670-5529(내선10),042-338-2983,sr8612@cnuh.co.kr,(35015) 대전광역시 중구 문화로 266 대전충청권역의료재활센터 지하1층,www.cnuh.co.kr/yeswecan
7,울산광역시보조기기센터,울산광역시,남구,1670-5529(내선17),052-267-5523,usatc@naver.com,(44689) 울산광역시 남구 돋질로 131 1층 울산광역시보조기기센터,www.usat.or.kr
8,세종특별자치시보조기기센터,세종특별자치시,세종특별자치시,1670-5529(내선14),044-715-5321,sjatc@naver.com,"(30100) 세종특별자치시 한누리대로 589,301호",www.sjatc.or.kr
9,경기도보조기기센터,경기도,양주시,1670-5529(내선2),031-851-7362,atneed@atrac.or.kr,(11485) 경기도 양주시 고삼로 43번길 28 104호 경기도보조기기북부센터,www.atrac.or.kr
10,강원특별자치도보조기기센터,강원특별자치도,춘천시,1670-5529(내선13),033-248-7755,gatc2019@naver.com,(24227) 강원특별자치도 춘천시 충열로142번길 24-16,www.gatc.or.kr
11,충청북도보조기기센터,충청북도,청주시,1670-5529(내선9),043-265-0402,cbat@hanmail.net,(28459) 충청북도 청주시 흥덕구 1순환로 438번길 39-17 충북재활의원 3층,www.cbat.or.kr
12,충청남도보조기기센터,충청남도,천안시,1670-5529(내선12),041-415-2860,cnat10582@naver.com,(31172) 충청남도 천안시 서북구 월봉로48 믿음관 1층,www.cnat.or.kr
13,전라북도보조기기센터,전라북도,전주시,1670-5529(내선7),063-232-6324,ykwoo1987@gmail.com,"(55046) 전라북도 전주시 완산구 서원로 394, 1층 전라북도보조기기센터",www.jbat.or.kr
14,전라남도보조기기센터,전라남도,순천시,1670-5529(내선16),061-740-1507,dkfdna1000@suncheon.ac.kr,(57997) 전라남도 순천시 제일대학길17(덕월동),jnat.or.kr
15,경상북도보조기기센터,경상북도,경산시,1670-5529(내선15),053-850-5809,gbatc@naver.com,"(38453) 경상북도 경산시 진량읍 대구대로 201, 점자도서관 1층 경상북도보조기기센터",gbatc.daegu.ac.kr
16,경상남도보조기기센터,경상남도,창원시,1670-5529(내선6),055-237-0065,gnatc@naver.com,(51144) 경상남도 창원시 의창구 봉곡로 97번길 85,www.gnatc.or.kr
17,제주특별자치도보조기기센터,제주특별자치도,제주시,1670-5529(내선11),064-721-2999,jejuat9997@naver.com,"(63311) 제주특별자치도 제주시 아봉로 433, 제주시각장애인복지관 2층",www.jejuat.or.kr
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
